policy,t_s,queue_p99_s,engine_p99_s,thrash_per_s
CLIMB,156.0,0.0007471752166748047,0.04576618194580078,0.0
CLIMB,157.0,0.0007315778732299805,0.045829763412475584,1.0
CLIMB,158.0,0.0007315778732299805,0.045829763412475584,2.0
CLIMB,159.0,0.0007659530639648437,0.04579797267913818,1.0
CLIMB,160.0,0.000766305923461914,0.045829763412475584,1.0
CLIMB,161.0,0.0007659530639648437,0.042834792137146,2.0
CLIMB,162.0,0.0007632827758789063,0.042834792137146,0.0
CLIMB,163.0,0.000762929916381836,0.04266075611114502,2.0
CLIMB,164.0,0.000762929916381836,0.04155218362808227,2.0
CLIMB,165.0,0.0007619976997375489,0.04149859189987183,0.0
CLIMB,166.0,0.0008855009078979491,0.04141820430755615,4.0
CLIMB,167.0,0.0008841395378112793,0.041391408443450926,2.0
CLIMB,168.0,0.0008841395378112793,0.041391408443450926,2.0
CLIMB,169.0,0.0008753776550292969,0.041391408443450926,1.0
CLIMB,170.0,0.0008773231506347655,0.04141820430755615,0.0
CLIMB,171.0,0.0008812141418457029,0.041471796035766596,3.0
CLIMB,172.0,0.0008887720108032226,0.04141820430755615,0.0
CLIMB,173.0,0.000889899730682373,0.03972384691238403,1.0
CLIMB,174.0,0.0008910274505615233,0.039732542037963864,2.0
CLIMB,175.0,0.0008921551704406739,0.039741237163543705,0.0
CLIMB,176.0,0.000784921646118164,0.03968753814697266,1.0
CLIMB,177.0,0.000784921646118164,0.039694023132324216,2.0
CLIMB,178.0,0.0007840633392333984,0.03967616558074951,2.0
CLIMB,179.0,0.0007840633392333984,0.03978250980377197,1.0
CLIMB,180.0,0.0007840633392333984,0.03978250980377197,2.0
CLIMB,181.0,0.0007840633392333984,0.03978250980377197,1.0
CLIMB,182.0,0.0006960964202880859,0.039788551330566406,1.0
CLIMB,183.0,0.0006961774826049805,0.03916183471679687,0.0
CLIMB,184.0,0.0006961774826049805,0.03916183471679687,1.0
