run_id,k,window,lambda,w_window,p_miss,vip_stat,bad,rho_eff
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,20,19.100000,7,0.428571,32.042441,1,41.686396
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,22,20.100000,7,0.428571,13.534424,1,43.868930
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,23,19.300000,7,0.428571,7.630933,1,42.122903
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,28,18.600000,7,0.428571,23.336315,1,40.595129
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,29,17.400000,7,0.428571,12.577430,1,37.976088
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,30,17.900000,7,0.428571,39.285624,1,39.067355
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,32,20.400000,7,0.428571,23.744125,1,44.523690
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,34,21.300000,7,0.428571,3.819031,1,46.487970
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,39,19.000000,7,0.428571,10.206081,1,41.468142
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,41,4.200000,2,0.000000,0.041837,0,0.166642
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,42,4.100000,2,0.000000,0.046025,0,0.162674
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,44,4.200000,2,0.000000,0.039497,0,0.166642
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,46,3.000000,2,0.000000,0.043485,0,0.119030
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,47,4.100000,2,0.000000,0.044422,0,0.162674
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,48,3.900000,2,0.000000,0.046054,0,0.154739
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,52,3.200000,2,0.000000,0.046613,0,0.126965
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,54,4.100000,2,0.000000,0.047993,0,0.162674
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,55,5.000000,2,0.000000,0.044451,0,0.198383
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,59,3.500000,2,0.000000,0.042043,0,0.138868
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,0,4.300000,2,0.000000,0.166709,0,0.170610
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,1,4.400000,2,0.000000,0.043721,0,0.174577
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,2,3.900000,2,0.000000,0.043002,0,0.154739
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,7,3.900000,2,0.000000,0.045014,0,0.154739
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,8,4.300000,2,0.000000,0.041962,0,0.170610
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,10,3.600000,2,0.000000,0.043495,0,0.142836
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,13,4.600000,2,0.000000,0.042968,0,0.182513
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,16,4.200000,2,0.000000,0.041639,0,0.166642
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,18,3.700000,2,0.000000,0.043911,0,0.146804
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,21,17.400000,7,0.428571,79.460623,1,37.976088
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,26,20.400000,7,0.428571,29.652553,1,44.523690
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,28,19.100000,7,0.428571,73.551083,1,41.686396
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,30,20.400000,7,0.428571,63.968606,1,44.523690
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,36,18.800000,7,0.428571,32.147904,1,41.031636
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,38,19.100000,7,0.428571,20.045278,1,41.686396
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,44,4.000000,2,0.000000,0.042557,0,0.158707
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,46,3.800000,2,0.000000,0.042133,0,0.150771
seed=102__K=4__ts=20260118-234205__git=unknown__cfg=a002b0,4,47,4.200000,2,0.000000,0.043532,0,0.166642
